,DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,DISTANCE,RAMP_TO_RAMP,AIR_TIME,AIRLINE_ID,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN_STATE_FIPS,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST_STATE_FIPS,DEST_WAC,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRCRAFT_CONFIG,YEAR,QUARTER,MONTH,DISTANCE_GROUP,SUCCESS_RATES,FILL_RATES,DEPARTURE_SUCCESS
DEST_CITY_MARKET_ID,0.021876182245470357,0.02411128484168595,0.04534677638561023,0.03995528362240664,0.04966258696499063,-0.13604421163641306,0.05490714274880767,-0.6586261727009556,-0.0014361587909444099,0.001202325152908316,-0.16936462726514706,,,-0.4868555232439073,-0.48685552324390746,-0.48685552324390746,,,0.1757371354614635,0.17573161238050142,1.0,,,-0.04454012123322515,0.23854694615359878,,-0.04160310007996795,0.03581498463775013,0.03326669466388745,,0.3203235943694032,0.10554917492157287,-0.06395711415849169
DEST_STATE_FIPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEST_WAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRCRAFT_GROUP,-0.05740676345971817,-0.05894094343422578,-0.0529200895689248,-0.05457651395525658,-0.05396678428984644,-0.04478454341865959,-0.036126222705100366,0.08086144638520934,-0.05972980788243177,-0.060217057103184285,-0.0029846101511585943,,,0.06362529622529164,0.06362529622529166,0.06362529622529174,,,0.04608660084716001,0.046087034934639975,-0.04454012123322515,,,1.0,0.09163535194607386,,0.045218006752106146,0.01769597050096156,0.03888561591392342,,0.0694078334193879,-0.05212822422865342,-0.04399588237478502
AIRCRAFT_TYPE,0.25920783614465204,0.26008406133100714,0.2678241744289099,0.26123649025886053,0.25827447130923303,-0.007841645235982823,0.2712991337070718,-0.09706085377489626,0.2605227415991347,0.26201308669743323,0.13098834150212404,,,-0.4511501387473694,-0.4511501387473704,-0.45115013874736976,,,0.43171411003176696,0.43171297614672255,0.23854694615359878,,,0.09163535194607386,1.0,,0.012377798050103956,0.03182804189229604,0.020370036313800185,,-0.11078474336990778,-0.07004385070934882,0.07421138834995199
AIRCRAFT_CONFIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEAR,0.10075134883448482,0.09782509295125846,0.08608251293073829,0.09041176445631696,0.08373925808541298,0.06234247586467458,0.011484846055047326,0.08601369179248437,0.09149155398551428,0.09248990620247226,-0.06118526133788858,,,0.13437244376460722,0.13437244376460733,0.13437244376460747,,,0.004053029569406673,0.004056757642664821,-0.04160310007996795,,,0.045218006752106146,0.012377798050103956,,1.0,-0.6906138832741959,-0.7024200042368868,,0.12954623600214135,0.012820775563677647,0.058516594806497776
QUARTER,-0.04919956513090195,-0.04867906812858119,-0.04206981862574636,-0.043929893899113455,-0.03903828791769924,0.022109367968193246,-0.04761150801831207,-0.07491446724569349,-0.05831911316961503,-0.0593377210562958,-0.07065229163052125,,,-0.0789795280003978,-0.07897952800039769,-0.07897952800039768,,,-0.02287774798913692,-0.022879742317387906,0.03581498463775013,,,0.01769597050096156,0.03182804189229604,,-0.6906138832741959,1.0,0.971902196172058,,-0.03091416851205133,-0.09531774951504493,-0.07449001725167274
MONTH,-0.05839214361078685,-0.05762786881546111,-0.05028785564805775,-0.05204137442023669,-0.04931128836523053,0.013363863009538393,-0.054105311189876944,-0.06997704379910463,-0.06648816577419316,-0.06735745013796261,-0.059397095760533224,,,-0.07608159557617117,-0.07608159557617118,-0.0760815955761716,,,-0.022073703584341634,-0.022075073831108922,0.03326669466388745,,,0.03888561591392342,0.020370036313800185,,-0.7024200042368868,0.971902196172058,1.0,,-0.03150678922432757,-0.11899343406327119,-0.0868804702594683
DISTANCE_GROUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUCCESS_RATES,0.46591722760664583,0.46559044458200327,0.49690394321903475,0.4965091174685212,0.49270043985034984,0.32880370619555316,0.4406931842283266,-0.4188329994558394,0.45502687536216774,0.456116697617688,-0.33115103114852473,,,-0.49141799669998343,-0.4914179966999836,-0.49141799669998365,,,0.0008017239799397647,0.0008004436682416254,0.3203235943694032,,,0.0694078334193879,-0.11078474336990778,,0.12954623600214135,-0.03091416851205133,-0.03150678922432757,,1.0,0.09988812107130686,-0.10863373926383756
FILL_RATES,0.15622021607659373,0.15680292803769594,0.1448722285902964,0.1494623055998417,0.1966842194547579,0.0753347918059292,0.15464441076237834,-0.11118153823681552,0.150112296153724,0.14932424913636017,-0.2723629070982454,,,-0.1133333658446107,-0.11333336584461065,-0.1133333658446107,,,-0.04154022295979052,-0.041541284795495535,0.10554917492157287,,,-0.05212822422865342,-0.07004385070934882,,0.012820775563677647,-0.09531774951504493,-0.11899343406327119,,0.09988812107130686,1.0,0.020965842987115454
DEPARTURE_SUCCESS,-0.09057489034892381,-0.05992920491317737,-0.05992566780511854,-0.060817047393007535,-0.05997504217131861,-0.05745854076915144,-0.05317509251720991,0.12526454654997876,-0.058291337512101915,-0.0579819227181351,0.08944761903209687,,,0.09299461557723658,0.09299461557723653,0.0929946155772366,,,0.08039343891962208,0.08039401879022627,-0.06395711415849169,,,-0.04399588237478502,0.07421138834995199,,0.058516594806497776,-0.07449001725167274,-0.0868804702594683,,-0.10863373926383756,0.020965842987115454,1.0
